,id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
11039,11039,6elUdvgtbNi1LrD3jPLKpe,One Shot,Hansie,44,5ZzCTm2oxNZdW6bMWCKtmV,One Shot,1/17/2020,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.638,0.757,6,-5.166,0,0.0816,0.287,0.000338,0.109,0.737,177.938,162731
9716,9716,7mvRBXq6hV0PpBZeyjjDPy,Granular,Spieltape,31,0XQ8IM2Rye1ODNPJ93AepE,Space Chants,9/27/2019,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.82,0.565,4,-8.123,0,0.177,0.0194,0.827,0.123,0.702,123.013,366829
7692,7692,6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,73,1xpGyKyV26uPstk1Elgp9Q,Weezer,5/10/1994,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,258827
4842,4842,11HLyzoCyx8hXKXVmrg1Sy,Wishful Thinking,China Crisis,53,1mWJIJbT09FgNhOr4xiPoL,Diary: A Collection,1/1/1992,Permanent Wave CHDB,2foj4ZYVHRGqSd1aMqNPBj,rock,permanent wave,0.67,0.512,7,-14.62,1,0.0335,7.93e-05,0.0985,0.105,0.965,125.18,250707
1119,1119,2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,Lil Baby,81,7KPtAktRGrVjy0QV3MXnZk,Sum 2 Prove,1/10/2020,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,205760
22076,22076,5F5qG3G8QKNKENzvQ9IVWO,Te Me Fuiste,César Avila,28,0MhZ9o3dyDmWkxqQ6IXZZ0,Te Me Fuiste,11/8/2019,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,0.531,0.622,9,-6.573,1,0.0385,0.561,0.0,0.176,0.589,103.036,201720
22952,22952,5CXdKtyCJ3L6iyexETMdaW,Fire,Saravah Soul,5,2mB951rZswhDEvyP8t9TLW,Cultura Impura,7/5/2010,Permanent Wave,5Go0Jsxj1UnsU7Om841BEo,rock,permanent wave,0.523,0.754,2,-6.408,1,0.206,0.18,1.59e-05,0.342,0.744,169.29,215400
3109,3109,1w3Q0fhdINUxWbmQX0mg1x,Static Theory,Wax Motif,46,4duG74Chf8fWkKryVGLLwI,Static Theory,1/16/2019,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.755,0.83,8,-6.34,0,0.124,0.104,0.66,0.0872,0.74,128.052,210267
16314,16314,1IBKePjbIXAkXiSvT2E4LQ,Need You,FTampa,13,1O1J74cKYpkMsNRS9hXBH7,Need You,4/1/2016,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.636,0.833,8,-4.504,0,0.0452,0.625,0.0066,0.14,0.817,127.991,212509
25151,25151,2Dl4B2t2dysNepXKRaiWVh,Girlfriend (feat. G-Eazy),T-Pain,62,4UUPCVMfRygX8QIFiLti6F,Girlfriend (feat. G-Eazy),8/6/2019,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.83,0.652,1,-5.628,1,0.0475,0.000987,0.0,0.137,0.336,100.005,190868
15130,15130,2jsbLRAHKu0FCZcbySednM,Futari No Natsu Monogatari Never Ending Summer,オメガトライブ,35,1ZluSoV6IVEiQxEfrnIYBB,Another Summer,7/1/1985,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.602,0.851,5,-4.566,1,0.0443,0.353,5.83e-06,0.104,0.709,156.796,238467
12274,12274,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,77,7lxHnls3yQNl8B9bILmHj7,Traveller,5/4/2015,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293
6816,6816,6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008,U2,72,6GaqU0TlYBKHUiSJ0AT9A2,War (Remastered),2/28/1983,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440
9075,9075,2KMXGcEw6Ub853iURlha9f,Relentless (Young & Free Remix),Hillsong Young & Free,0,6xiRJSbV1ADMXwIuRtBsYK,The White Album [Remix Project],3/4/2014,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.494,0.722,11,-7.479,0,0.0339,0.00319,0.0466,0.0945,0.364,130.011,245280
159,159,5NmENli4oodYuWrI0vSGK4,Why We Lose,Cartoon,65,3RNJagqH7R68xyYoj2YwFR,Why We Lose,6/11/2015,Happy EDM,3d2JFEbvcx7p2CHkBaQeMZ,edm,pop edm,0.424,0.921,4,-3.174,0,0.0427,0.00118,0.00817,0.328,0.0973,174.986,197486
25375,25375,2swZ0X1njeU32SNJeBKIfW,Inmortal,Aventura,73,1yM8iaMk4Slsqr94LabgN1,Utopia,4/5/2019,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.77,0.775,8,-4.65,0,0.0349,0.178,0.0,0.0651,0.848,124.015,256440
496,496,2tNmhDlMbwQZLxQtWMt2EU,Gravel Pit,Wu-Tang Clan,60,6FePdYF8RNzmH05uXIMW76,Legend Of The Wu-Tang: Wu-Tang Clan's Greatest Hits,10/26/2004,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.787,0.72,7,-7.569,1,0.251,0.222,0.0,0.633,0.538,121.003,253467
24399,24399,33XAmcT5fPi1USyjAFCMcC,J. Gotti,View,38,3VBaasKpgB9m5L5ItIgO5b,J. Gotti,10/18/2019,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.684,0.612,11,-7.909,1,0.0885,0.0524,0.000559,0.175,0.496,139.932,204000
19158,19158,4zQxhaMV9hNuDX1PBNQmMA,Call Me The Breeze,Lynyrd Skynyrd,0,6TBwXfQCeLoVIOW53dNLqz,The Complete Collection,1/1/2008,Southern Rock/Classic Rock,0QUlq0LMDVXSBtbyYLTyZh,rock,classic rock,0.237,0.698,2,-7.698,1,0.0465,0.000726,0.199,0.116,0.794,186.093,307360
24485,24485,31RuuWQ8XpyLNp5iKMyxWq,Rise (feat. Skylar Grey),David Guetta,43,77UW17CZFyCaRLHdHeofZu,Listen,11/21/2014,ELECTROPOP,2UsEj2GUukV0GLbsE3rldz,pop,electropop,0.656,0.717,3,-2.893,0,0.0511,0.137,4.11e-06,0.119,0.253,129.867,235385
3065,3065,36x7aTWJLabT8s5pazV66a,贅沢な罠,LUCKY TAPES,32,42eeqAnEc2zjh8ND4IrVb6,CIGARETTE & ALCOHOL,7/6/2016,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.663,0.618,11,-6.228,0,0.0315,0.0101,0.000181,0.328,0.723,95.029,269787
3503,3503,4CduCTp03yeKuNibmxhobL,Nobody.knows,Brenky,50,2C1FJvnEb8hpuqkrCrjAq0,Statera,10/5/2018,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.477,0.13,10,-14.846,0,0.131,0.776,0.94,0.142,0.45,148.643,109674
9319,9319,6B4H7k0ANCSCribJM3Z0VP,Yourself,IIWII,31,4fv0RqSFsEMoZlTIyvYZA6,Yourself,10/4/2019,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.563,0.783,2,-6.023,0,0.075,0.193,0.0,0.323,0.281,124.023,154839
1900,1900,33VUftZBMcYOqQgKyd2N00,St Louis Blues,The Swing Bot,43,0RakmcnG9fJgW3GlkfI9iT,St Louis Blues,5/17/2019,Electro Swing Top 100,5M7xLCQTYJL0lbKIrUn3a4,edm,electro house,0.813,0.727,5,-6.913,0,0.164,0.229,0.4,0.113,0.607,110.985,207914
2278,2278,1cikrStdIjqYJrpM0gfFuo,Hoo-Bangin' (WSCG Style),Westside Connection,46,5VCY0uIkkoaaji9ciCLS0D,Bow Down,1/1/1996,Gangsta Rap/90's Hip-Hop,62spXXfUxBed8nbd5xvH2O,rap,gangster rap,0.91,0.435,1,-7.157,1,0.361,0.04,0.0,0.191,0.391,92.18,238200
6834,6834,4YvbgiIq1Ztj01sGfU3RZk,Wonderland Bossa Nova Band,Chris Mazuera,40,5Q0K7LUx726bDmEW7eWkJn,Monstera,6/1/2018,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.765,0.477,1,-11.02,0,0.353,0.189,0.893,0.121,0.933,82.902,116135
6633,6633,3WP3OIYgTAnfFuiQBvgzgi,Silent Night,Boyz II Men,45,1x6bJdWl3Imquoi2Mu0BsC,The Best Of/20th Century Masters: The Christmas Collection,10/5/1993,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.225,0.121,2,-19.697,1,0.0375,0.924,1.67e-05,0.128,0.071,117.105,152333
7395,7395,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,90,659e2eKbsMH0vYCs5qgFmy,Watermelon Sugar,11/17/2019,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000
13475,13475,7biTdpboxtQ5apJezizdzh,Dancer,Cero Ismael,43,5M0LVzbnppX3TkVPXATwt0,Dancer,2/22/2019,Alternative Hip Hop,37i9dQZF1DWTggY0yqBxES,rap,hip hop,0.643,0.664,1,-6.719,1,0.287,0.465,7.87e-05,0.138,0.26,91.727,176573
15947,15947,46l4jIghBuLjDzUqYXY5Oo,Can't Go Home,Jelly Roll,51,4o9I622N2dNhGOiaHqjwad,Waylon & Willie 2,3/23/2018,Southern soul & hip hop,4xJULuV0P5PLcMe3xP8Pgj,rap,southern hip hop,0.69,0.732,9,-5.989,1,0.096,0.109,0.0,0.104,0.317,119.893,229939
13526,13526,3Te8uLyit6X3ncNW8Fp3K2,Immortals,Fall Out Boy,73,022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,1/20/2015,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.615,0.868,2,-3.606,1,0.07,0.00131,1.54e-06,0.671,0.475,108.017,189387
24576,24576,6FZjiSBSQoj1geAgXjvqez,Undefeated (feat. Lil Keed),Future,61,0wWL6KM5LuMupJdO4SGiMe,Undefeated (feat. Lil Keed),7/23/2019,Rap Workout,37i9dQZF1DX76t638V6CA8,rap,hip hop,0.855,0.561,2,-5.105,1,0.277,0.00135,0.0,0.187,0.408,157.016,156467
15454,15454,4BX9utrulgT68sAqwWjrkZ,LA & The Parties,Lost Kings,60,4w93xIU3AFd4X2ZkNfniz9,LA & The Parties,10/11/2019,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.543,0.883,10,-4.247,1,0.065,0.0667,8.49e-05,0.156,0.523,157.815,165685
24602,24602,4D3IIkBWnpL097OkljGnRW,Live Forever (With Cheat Codes),Liam Payne,71,52pHDA5D1zt7xcfJdOkHWx,LP1,12/6/2019,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.69,0.676,7,-6.111,1,0.0335,0.213,0.0,0.123,0.664,100.023,174780
25383,25383,2OmymQ2ONrm6iQJLX9qnmp,Shots - Live From Spotify London,Imagine Dragons,44,0XMkrjoxpwaGgb6MYgv2gA,Imagine Dragons (Spotify Sessions),4/20/2015,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.681,0.733,11,-5.352,1,0.0668,0.265,0.0,0.714,0.411,111.058,212810
1815,1815,2qg5p61GthL5fsdXHw12w9,Cities In Dust - Single Version,Siouxsie and the Banshees,1,6YQEFg3k2dxDErFbdxwwub,The Best Of Siouxsie And The Banshees (Limited Edition),1/1/2002,permanent wave,7rPsfDTqiZYIT4PVzQ4c0c,rock,permanent wave,0.543,0.909,10,-9.366,0,0.106,0.0461,0.0,0.334,0.336,120.069,243800
6023,6023,4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,Eagles,75,51B7LbLWgYLKBVSpkan8Z7,Eagles (2013 Remaster),1972,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578
21885,21885,67eX1ovaHyVPUinMHeUtIM,Hurts So Good,John Mellencamp,69,4gouGcdQn9OvjX42xnWrF0,American Fool,1982,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.785,0.737,9,-5.306,1,0.0363,0.0421,9.93e-05,0.108,0.971,125.447,218960
19081,19081,1BL1aVDLeEhe82PuOsIS47,Down Under,Omaure,54,7qdepmAALqX7taS6nMz8v5,Chillhop Daydreams,8/8/2018,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,pop,indie poptimism,0.647,0.198,8,-12.563,1,0.0777,0.114,0.867,0.0979,0.272,80.01,108125
16799,16799,6nIutPMI1oxGDXtxRf2QtR,(Don't U Know) I Love U,Chuckii Booker,16,6K7I6hIwdM7Ivl1MUQUKrp,Chuckii,1989,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.798,0.728,8,-9.609,0,0.0378,0.0225,0.0513,0.102,0.848,104.975,412240
15839,15839,1Uh5eYzd3Xcco1XnR7CRZf,Beautiful World - Radio Edit,Blasterjaxx,22,4OLcITqqu6eohjTEwOFEGx,Beautiful World,9/19/2016,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,0.574,0.944,8,-1.026,1,0.0499,0.0232,8.1e-05,0.274,0.264,129.908,214615
22326,22326,0vQo3zrpW3Ib8yumDhX3Lk,free (at ease),fantompower,13,7BMoDJpAzHGdRhvvlKI1A4,free (at ease),2/20/2019,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.533,0.246,9,-16.585,1,0.0466,0.907,0.894,0.112,0.0886,87.016,145402
25773,25773,2MlUcu4cRAyjCvuBrGdcKd,Lume,AWASAKI,22,4p2JcI9VvhC3WxrHn14N1d,LUME E FERRO,11/12/2018,House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house,0.447,0.37,10,-11.879,0,0.0346,0.000541,0.693,0.131,0.0381,64.053,127500
13818,13818,2GblQ918RbkOs4Yo1Rpkcj,Rolling In The Deep,Adele,61,19xt2EkDfNcbAdQzOVUttd,Pay Close Attention : XL Recordings,8/25/2014,Pop Hits 2000-2019,6mtYuOxzl58vSGnEDtZ9uB,edm,pop edm,0.727,0.76,8,-5.114,1,0.0297,0.13,0.0,0.0584,0.54,104.941,228141
7142,7142,3svP6woFniGpIEqEPziJPQ,Firecracker,The Baskervilles,14,7uYTG2N4fq9jUyO21qxtot,Firecracker,12/6/2019,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.485,0.76,6,-5.872,0,0.0383,0.00239,1.2e-05,0.12,0.317,150.002,200854
20897,20897,6ZhLLzEjG6AezCj0iNi7tm,Falling,DÉRLY,12,6IZCYcnP5a71Drd0Kvhvcg,Falling,11/22/2019,Latest Latin American Hits 2020,51LvliKED7oZNJR8XCiPip,latin,latin hip hop,0.82,0.655,8,-6.941,1,0.0792,0.19,0.0,0.108,0.653,93.985,187089
19508,19508,311VVjCigMAhxSb47qMMjv,My Religion,Wilderlife,25,72znmDYhK5nImobjQJzFNt,My Religion,8/23/2019,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",3Ho3iO0iJykgEQNbjB2sic,rock,hard rock,0.435,0.726,2,-6.255,1,0.0361,0.000465,0.00832,0.174,0.389,148.016,179187
18968,18968,5nKI7U4XDUEQBX4vxUnGWh,Heartbreak,Blasterjaxx,41,0Bt7avkDCkg4VjQQqivOba,Heartbreak,12/11/2015,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,0.605,0.867,2,-4.993,1,0.0447,0.0102,4.99e-05,0.861,0.296,128.024,204395
21868,21868,42ZVk59gT4tMlrZmd8Ijxf,Indestructible,Disturbed,70,6hz9f6H7URtoigU517WjD6,Indestructible (Deluxe Edition),4/29/2008,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.429,0.966,8,-4.605,1,0.0733,0.000209,0.124,0.371,0.525,179.956,278027
6398,6398,6ESkvrWf0jzOKkLTjIWvyT,Feel The Love - Sam Feldt Edit,Janieck,7,2RdiZiqvpygBeOxxdMgnDj,Feel The Love (Sam Feldt Edit),5/5/2016,Tropical Morning,0vbtbmyihyvl2MVYrdKdGw,latin,tropical,0.645,0.835,3,-4.374,0,0.045,0.0487,1.16e-05,0.0947,0.438,121.997,170496
16825,16825,4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Luniz,73,5pMShIZc6oWiEtcQvXsKfb,Operation Stackola,1/1/1995,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,253533
6270,6270,4kHwYiQ6nDHgEBRSEdKLzH,Housetrap - Original,Laidback Luke,0,0eBMCOzTbRQASUVTcOX0jf,Housetrap / We Rock Da House,8/7/2008,Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house,0.715,0.569,0,-8.492,1,0.0571,0.106,0.839,0.273,0.556,127.008,461107
19551,19551,0gXjaxw5A3iAbzU3vF5bxS,IT WAS ALL A LIE,Dutch Revz,41,0PlMc2tY2hkwqw57FMVGyA,IT WAS ALL A LIE,12/16/2019,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.706,0.552,6,-10.447,0,0.169,0.305,6.06e-06,0.0968,0.361,165.03,176427
24015,24015,5l40B5n4x1U6B7qTaJXPtN,Flava,Manny,47,7CrQluqxgIPgOHNk1qfz5X,Flava,8/15/2018,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.416,0.423,9,-15.069,0,0.248,0.97,0.928,0.206,0.41,76.372,111381
2043,2043,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,12/6/2019,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
24331,24331,6dvNENlPXw02bT5TiWiAMi,El Vacile,Systema Solar,35,2b09ds6yCtGfJmyD5oguvO,El Vacile,11/1/2019,Tropical Rising,37i9dQZF1DX07X8UDWKEwP,latin,tropical,0.783,0.803,1,-4.77,1,0.0983,0.0445,9.9e-06,0.065,0.841,119.988,222910
3770,3770,2r7mfzeXCzyrysTya4Onwk,Yo Voy (feat. Daddy Yankee),Zion & Lennox,48,762qEGXU9cqGzzvsGoMNS7,Motivando A La Yal (Special Edition),6/7/2005,Reggaeton viejito🔥,0si5tw70PIgPkY1Eva6V8f,latin,reggaeton,0.786,0.729,7,-4.973,0,0.187,0.0579,0.0,0.101,0.607,95.027,231015
19284,19284,60Evtx3MICRBjDGgMX04Co,Undertow,Chroma Key,32,3HBfpcwJqvz3VIhlOpoZhv,Dead Air for Radios,1/1/1998,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.67,0.617,2,-8.79,0,0.0273,0.0366,0.256,0.0824,0.738,118.073,289400
13054,13054,3mmx1lskTHYD7YfbjKKRph,Feel jazz,Nidža Bleja,36,3IE8cNZxuOxhGKkSLPwrCR,Gajbeni muzicki studio DZEZ,1/1/2009,Nidza Bleja - English HIP HOP/POP Songs,5XQopnmKZnE6RjR6NIzbPS,r&b,hip pop,0.766,0.825,9,-4.104,0,0.067,0.358,0.0,0.219,0.795,110.015,117864
21638,21638,7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,64,2k8KgmDp9oHrmu0MIj4XDE,Is This It,7/30/2001,permanent wave,3uFyGoayrP71xS6T6Y8Bh2,rock,permanent wave,0.538,0.52,9,-7.46,1,0.0299,0.00425,0.0,0.367,0.678,106.031,183440
5510,5510,4rhdtzBmrrDxYi35yQDpzF,Highway,Cheat Codes,64,2DtVhE1RH6odEmwtywYqdQ,Highway,8/23/2019,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.625,0.573,1,-4.314,0,0.0491,0.0609,0.0,0.27,0.37,95.895,221320
7862,7862,0yd0NF2DaG04KLqJT5LLV2,Detroit Rock City,KISS,6,69VIN1YAlKMb5JaOesGUKJ,Greatest Kiss,4/8/1997,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.548,0.905,5,-7.237,1,0.0607,0.0381,3.37e-05,0.163,0.457,90.587,218693
24667,24667,6UqRGwjwYL0stXbaodTxwo,Seve - Radio Edit,Tez Cadey,69,40d8W7uNHGeih483QVvLu4,Seve (Radio Edit),1/26/2015,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034,210853
176,176,1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,93,3tBkjgxDqAwss76O1YHsSY,Lose You To Love Me,10/23/2019,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459
22854,22854,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,21 Savage,80,4QUNWTw2FsIz722xjUjFJw,Issa Album,9/23/2017,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,220307
14310,14310,1RYl3mFu62mipziyen5ujo,Solos (feat. Plan B),Tony Dize,0,26uxqzo94VkVRJDYUDi3uT,La Melodia De La Calle,9/20/2010,REGGAETON VIEJO,31hG19URdBvLEpQWKFYfdD,latin,reggaeton,0.742,0.704,2,-5.35,0,0.133,0.498,0.0,0.336,0.96,83.998,189253
17981,17981,44wXefe8WB9Fd6xwtmAwbR,Monkey Wrench,Foo Fighters,68,30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,5/20/1997,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.399,0.953,4,-4.276,1,0.0752,1.83e-05,2.53e-05,0.149,0.555,174.216,231480
